#"Step"	"T_COM"	"T_Atom"	"T_Drude"	"KE_COM"	"KE_Atom"	"KE_Drude"
100	3.6148059842169076	5.55815400716617	41.373818789420845	46.119657179826014	922.7824563314423	5812.242073564788
200	14.154864591857063	16.178105198368222	18.391190779261148	180.59544696275822	2685.9406260587234	2583.6158217406537
300	30.48894428067946	29.635170426198663	8.469824700723793	388.9945032013585	4920.125517290464	1189.8508023110676
400	52.66198760200527	45.73612017944731	9.217640318347515	671.8902273641341	7593.256550258569	1294.9048080373366
500	80.02787591869996	59.49796460296359	4.419024455920745	1021.039087108755	9878.041855669386	620.7896833874502
600	110.63928803883213	71.19800906035177	4.64577778274447	1411.5961014921172	11820.520554470391	652.6442538633723
700	146.02078546185174	79.23601975375958	2.883798044708195	1863.01245378967	13155.016727501587	405.1192956692376
800	185.81513996949298	82.83760817245177	2.553110066575584	2370.7304324580236	13752.963924252643	358.66386477205646
900	228.0735469866784	82.49888526825654	2.208164356333317	2909.8861307465877	13696.728067321368	310.205491123491
1000	272.5228504000671	78.52438283817864	1.5550706927149174	3476.9944746683036	13036.86849696871	218.45813541089626
